TYPEJOB;DEBUT;FIN;DUREE_SEC;ETAT
jobLireEtudesCDE12;01/08/14 14:00:29;01/08/14 14:00:30;     1;ok
flux1CisRiPhCc;01/08/14 14:00:15;01/08/14 14:00:17;     2;ok
flux13RiCisActivites;01/08/14 13:50:43;01/08/14 13:50:44;     1;ok
flux11RiCisContactBailleur;01/08/14 13:50:20;01/08/14 13:50:21;     1;ok
flux12CisRiActivites;01/08/14 13:40:36;01/08/14 13:40:36;     0;ok
flux10CisRiContactBailleur;01/08/14 13:40:10;01/08/14 13:40:10;     0;ok
flux14CisRiGedATransferer;01/08/14 13:04:25;01/08/14 13:12:58;   513;ok
flux9RiCisBailleur;01/08/14 13:03:39;01/08/14 13:03:40;     1;ok
flux8RiCisBailleur;01/08/14 13:03:10;01/08/14 13:03:11;     1;ok
flux6RiCisBailleur;01/08/14 13:02:50;01/08/14 13:02:50;     0;ok
flux4RiCisBailleur;01/08/14 13:02:17;01/08/14 13:02:18;     1;ok
flux2RiCisBailleur;01/08/14 13:02:02;01/08/14 13:02:02;     0;ok
flux7CisRiPh;01/08/14 13:01:35;01/08/14 13:01:37;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 13:01:09;01/08/14 13:01:10;     1;ok
flux3CisRiPhBauxCc;01/08/14 13:00:45;01/08/14 13:00:45;     0;ok
flux1CisRiPhCc;01/08/14 13:00:10;01/08/14 13:00:14;     4;ok
flux13RiCisActivites;01/08/14 12:50:22;01/08/14 12:50:22;     0;ok
flux11RiCisContactBailleur;01/08/14 12:50:10;01/08/14 12:50:11;     1;ok
flux12CisRiActivites;01/08/14 12:40:50;01/08/14 12:40:50;     0;ok
flux10CisRiContactBailleur;01/08/14 12:40:21;01/08/14 12:40:22;     1;ok
flux14CisRiGedATransferer;01/08/14 12:03:09;01/08/14 12:13:59;   650;ok
flux9RiCisBailleur;01/08/14 12:02:44;01/08/14 12:02:45;     1;ok
flux8RiCisBailleur;01/08/14 12:02:30;01/08/14 12:02:31;     1;ok
flux6RiCisBailleur;01/08/14 12:02:04;01/08/14 12:02:05;     1;ok
flux4RiCisBailleur;01/08/14 12:01:48;01/08/14 12:01:49;     1;ok
flux2RiCisBailleur;01/08/14 12:01:19;01/08/14 12:01:20;     1;ok
flux7CisRiPh;01/08/14 12:01:04;01/08/14 12:01:06;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 12:00:49;01/08/14 12:00:49;     0;ok
flux3CisRiPhBauxCc;01/08/14 12:00:33;01/08/14 12:00:34;     1;ok
flux1CisRiPhCc;01/08/14 12:00:11;01/08/14 12:00:20;     9;ok
flux13RiCisActivites;01/08/14 11:51:35;01/08/14 11:51:36;     1;ok
flux11RiCisContactBailleur;01/08/14 11:50:59;01/08/14 11:51:01;     2;ok
flux12CisRiActivites;01/08/14 11:40:24;01/08/14 11:40:25;     1;ok
flux10CisRiContactBailleur;01/08/14 11:40:10;01/08/14 11:40:11;     1;ok
flux14CisRiGedATransferer;01/08/14 11:04:36;01/08/14 11:16:21;   705;ok
flux9RiCisBailleur;01/08/14 11:03:54;01/08/14 11:03:55;     1;ok
flux8RiCisBailleur;01/08/14 11:03:25;01/08/14 11:03:25;     0;ok
flux6RiCisBailleur;01/08/14 11:02:59;01/08/14 11:03:00;     1;ok
flux4RiCisBailleur;01/08/14 11:02:15;01/08/14 11:02:16;     1;ok
flux2RiCisBailleur;01/08/14 11:01:56;01/08/14 11:01:57;     1;ok
flux7CisRiPh;01/08/14 11:01:29;01/08/14 11:01:36;     7;ok
flux5CisRiPhBauxHorsCc;01/08/14 11:00:48;01/08/14 11:00:49;     1;ok
flux3CisRiPhBauxCc;01/08/14 11:00:34;01/08/14 11:00:34;     0;ok
flux1CisRiPhCc;01/08/14 11:00:11;01/08/14 11:00:21;    10;ok
flux13RiCisActivites;01/08/14 10:50:29;01/08/14 10:50:30;     1;ok
flux11RiCisContactBailleur;01/08/14 10:50:10;01/08/14 10:50:11;     1;ok
flux12CisRiActivites;01/08/14 10:40:23;01/08/14 10:40:24;     1;ok
flux10CisRiContactBailleur;01/08/14 10:40:10;01/08/14 10:40:11;     1;ok
flux14CisRiGedATransferer;01/08/14 10:04:46;01/08/14 10:14:42;   596;ok
flux9RiCisBailleur;01/08/14 10:04:08;01/08/14 10:04:09;     1;ok
flux8RiCisBailleur;01/08/14 10:03:23;01/08/14 10:03:23;     0;ok
flux6RiCisBailleur;01/08/14 10:02:59;01/08/14 10:03:00;     1;ok
flux4RiCisBailleur;01/08/14 10:02:23;01/08/14 10:02:24;     1;ok
flux2RiCisBailleur;01/08/14 10:02:01;01/08/14 10:02:02;     1;ok
flux7CisRiPh;01/08/14 10:01:20;01/08/14 10:01:22;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 10:00:56;01/08/14 10:00:56;     0;ok
flux3CisRiPhBauxCc;01/08/14 10:00:28;01/08/14 10:00:29;     1;ok
flux1CisRiPhCc;01/08/14 10:00:10;01/08/14 10:00:16;     6;ok
flux13RiCisActivites;01/08/14 09:50:24;01/08/14 09:50:24;     0;ok
flux11RiCisContactBailleur;01/08/14 09:50:10;01/08/14 09:50:11;     1;ok
flux12CisRiActivites;01/08/14 09:40:41;01/08/14 09:40:42;     1;ok
flux10CisRiContactBailleur;01/08/14 09:40:10;01/08/14 09:40:11;     1;ok
flux14CisRiGedATransferer;01/08/14 09:03:54;01/08/14 09:14:25;   631;ok
flux9RiCisBailleur;01/08/14 09:03:33;01/08/14 09:03:34;     1;ok
flux8RiCisBailleur;01/08/14 09:03:20;01/08/14 09:03:21;     1;ok
flux6RiCisBailleur;01/08/14 09:02:39;01/08/14 09:02:39;     0;ok
flux4RiCisBailleur;01/08/14 09:02:24;01/08/14 09:02:25;     1;ok
flux2RiCisBailleur;01/08/14 09:01:44;01/08/14 09:01:45;     1;ok
flux7CisRiPh;01/08/14 09:01:19;01/08/14 09:01:23;     4;ok
flux5CisRiPhBauxHorsCc;01/08/14 09:01:03;01/08/14 09:01:03;     0;ok
flux3CisRiPhBauxCc;01/08/14 09:00:39;01/08/14 09:00:39;     0;ok
flux1CisRiPhCc;01/08/14 09:00:25;01/08/14 09:00:27;     2;ok
jobLireEtudesCDE12;01/08/14 09:00:20;01/08/14 09:00:21;     1;ok
flux13RiCisActivites;01/08/14 08:50:37;01/08/14 08:50:38;     1;ok
flux11RiCisContactBailleur;01/08/14 08:50:11;01/08/14 08:50:11;     0;ok
flux12CisRiActivites;01/08/14 08:40:44;01/08/14 08:40:45;     1;ok
flux10CisRiContactBailleur;01/08/14 08:40:19;01/08/14 08:40:19;     0;ok
flux14CisRiGedATransferer;01/08/14 08:04:38;01/08/14 08:14:35;   597;ok
flux9RiCisBailleur;01/08/14 08:04:14;01/08/14 08:04:15;     1;ok
flux8RiCisBailleur;01/08/14 08:03:33;01/08/14 08:03:34;     1;ok
flux6RiCisBailleur;01/08/14 08:03:18;01/08/14 08:03:19;     1;ok
flux4RiCisBailleur;01/08/14 08:02:31;01/08/14 08:02:32;     1;ok
flux2RiCisBailleur;01/08/14 08:02:04;01/08/14 08:02:04;     0;ok
flux7CisRiPh;01/08/14 08:01:42;01/08/14 08:01:44;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 08:01:11;01/08/14 08:01:12;     1;ok
flux3CisRiPhBauxCc;01/08/14 08:00:42;01/08/14 08:00:42;     0;ok
flux1CisRiPhCc;01/08/14 08:00:10;01/08/14 08:00:13;     3;ok
flux13RiCisActivites;01/08/14 07:50:23;01/08/14 07:50:24;     1;ok
flux11RiCisContactBailleur;01/08/14 07:50:10;01/08/14 07:50:11;     1;ok
flux12CisRiActivites;01/08/14 07:40:42;01/08/14 07:40:42;     0;ok
flux10CisRiContactBailleur;01/08/14 07:40:10;01/08/14 07:40:11;     1;ok
flux14CisRiGedATransferer;01/08/14 07:04:11;01/08/14 07:15:10;   659;ok
flux9RiCisBailleur;01/08/14 07:03:51;01/08/14 07:03:52;     1;ok
flux8RiCisBailleur;01/08/14 07:03:12;01/08/14 07:03:13;     1;ok
flux6RiCisBailleur;01/08/14 07:02:43;01/08/14 07:02:44;     1;ok
flux4RiCisBailleur;01/08/14 07:02:27;01/08/14 07:02:28;     1;ok
flux2RiCisBailleur;01/08/14 07:02:10;01/08/14 07:02:11;     1;ok
flux7CisRiPh;01/08/14 07:01:42;01/08/14 07:01:44;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 07:01:10;01/08/14 07:01:11;     1;ok
flux3CisRiPhBauxCc;01/08/14 07:00:23;01/08/14 07:00:24;     1;ok
flux1CisRiPhCc;01/08/14 07:00:10;01/08/14 07:00:13;     3;ok
flux13RiCisActivites;01/08/14 06:50:31;01/08/14 06:50:32;     1;ok
flux11RiCisContactBailleur;01/08/14 06:50:10;01/08/14 06:50:11;     1;ok
flux12CisRiActivites;01/08/14 06:42:46;01/08/14 06:42:47;     1;ok
flux10CisRiContactBailleur;01/08/14 06:42:10;01/08/14 06:42:10;     0;ok
flux13RiCisActivites;01/08/14 06:40:42;01/08/14 06:40:43;     1;ok
flux11RiCisContactBailleur;01/08/14 06:40:11;01/08/14 06:40:12;     1;ok
flux12CisRiActivites;01/08/14 06:30:42;01/08/14 06:30:42;     0;ok
flux10CisRiContactBailleur;01/08/14 06:30:11;01/08/14 06:30:12;     1;ok
flux14CisRiGedATransferer;01/08/14 06:04:16;01/08/14 06:14:16;   600;ok
flux9RiCisBailleur;01/08/14 06:03:53;01/08/14 06:03:53;     0;ok
flux8RiCisBailleur;01/08/14 06:03:10;01/08/14 06:03:11;     1;ok
flux6RiCisBailleur;01/08/14 06:02:42;01/08/14 06:02:43;     1;ok
flux4RiCisBailleur;01/08/14 06:02:11;01/08/14 06:02:12;     1;ok
flux2RiCisBailleur;01/08/14 06:01:51;01/08/14 06:01:51;     0;ok
flux7CisRiPh;01/08/14 06:01:21;01/08/14 06:01:23;     2;ok
flux5CisRiPhBauxHorsCc;01/08/14 06:00:59;01/08/14 06:00:59;     0;ok
flux3CisRiPhBauxCc;01/08/14 06:00:31;01/08/14 06:00:32;     1;ok
flux1CisRiPhCc;01/08/14 06:00:11;01/08/14 06:00:17;     6;ok
jobqualifierBatchMails;01/08/14 00:03:19;01/08/14 00:03:20;     1;ok
jobqualifierAlerteDeploiementUCF;01/08/14 00:02:50;01/08/14 00:02:51;     1;ok
job_alerteDeploiementLotsC;01/08/14 00:02:00;01/08/14 00:02:00;     0;ok
exporterDeltasPhZdr;01/08/14 00:01:29;01/08/14 00:01:31;     2;ok
exporterCompletPhZdr;01/08/14 00:01:10;01/08/14 00:01:17;     7;ok
jobCreerEtudesB;31/07/14 20:21:23;31/07/14 20:21:24;     1;ok
creerAffaires;31/07/14 20:21:09;31/07/14 20:21:10;     1;ok
calculDateAuPlusTard;31/07/14 20:20:09;31/07/14 20:20:54;    45;ok
job_etape3Et4;31/07/14 20:19:23;31/07/14 20:19:23;     0;ok
cleanCouverturesPCE;31/07/14 20:18:53;31/07/14 20:18:54;     1;ok
jobLireEtudesAB;31/07/14 20:18:20;31/07/14 20:18:22;     2;ok
initZddAndPce;31/07/14 20:17:56;31/07/14 20:17:56;     0;ok
lotissementIntvn;31/07/14 20:08:45;31/07/14 20:17:21;   516;ok
chgtStatutIntvn;31/07/14 20:08:14;31/07/14 20:08:14;     0;ok
nbPceALotir;31/07/14 20:02:10;31/07/14 20:08:04;   354;ok
flux13RiCisActivites;31/07/14 19:50:24;31/07/14 19:50:25;     1;ok
flux11RiCisContactBailleur;31/07/14 19:50:10;31/07/14 19:50:11;     1;ok
flux12CisRiActivites;31/07/14 19:40:35;31/07/14 19:40:36;     1;ok
flux10CisRiContactBailleur;31/07/14 19:40:10;31/07/14 19:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 19:03:56;31/07/14 19:12:25;   509;ok
flux9RiCisBailleur;31/07/14 19:03:26;31/07/14 19:03:26;     0;ok
flux8RiCisBailleur;31/07/14 19:02:44;31/07/14 19:02:45;     1;ok
flux6RiCisBailleur;31/07/14 19:02:26;31/07/14 19:02:27;     1;ok
flux4RiCisBailleur;31/07/14 19:02:06;31/07/14 19:02:07;     1;ok
flux2RiCisBailleur;31/07/14 19:01:41;31/07/14 19:01:42;     1;ok
flux7CisRiPh;31/07/14 19:01:20;31/07/14 19:01:22;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 19:00:55;31/07/14 19:00:56;     1;ok
flux3CisRiPhBauxCc;31/07/14 19:00:30;31/07/14 19:00:31;     1;ok
jobLireEtudesCDE12;31/07/14 19:00:21;31/07/14 19:00:22;     1;ok
flux1CisRiPhCc;31/07/14 19:00:14;31/07/14 19:00:16;     2;ok
flux13RiCisActivites;31/07/14 18:50:32;31/07/14 18:50:33;     1;ok
flux11RiCisContactBailleur;31/07/14 18:50:10;31/07/14 18:50:11;     1;ok
flux12CisRiActivites;31/07/14 18:40:24;31/07/14 18:40:24;     0;ok
flux10CisRiContactBailleur;31/07/14 18:40:10;31/07/14 18:40:10;     0;ok
flux14CisRiGedATransferer;31/07/14 18:04:49;31/07/14 18:15:19;   630;ok
flux9RiCisBailleur;31/07/14 18:04:16;31/07/14 18:04:17;     1;ok
flux8RiCisBailleur;31/07/14 18:03:29;31/07/14 18:03:30;     1;ok
flux6RiCisBailleur;31/07/14 18:03:14;31/07/14 18:03:14;     0;ok
flux4RiCisBailleur;31/07/14 18:02:47;31/07/14 18:02:47;     0;ok
flux2RiCisBailleur;31/07/14 18:02:01;31/07/14 18:02:02;     1;ok
flux7CisRiPh;31/07/14 18:01:42;31/07/14 18:01:43;     1;ok
flux5CisRiPhBauxHorsCc;31/07/14 18:01:11;31/07/14 18:01:11;     0;ok
flux3CisRiPhBauxCc;31/07/14 18:00:42;31/07/14 18:00:42;     0;ok
flux1CisRiPhCc;31/07/14 18:00:11;31/07/14 18:00:14;     3;ok
flux13RiCisActivites;31/07/14 17:50:25;31/07/14 17:50:26;     1;ok
flux11RiCisContactBailleur;31/07/14 17:50:11;31/07/14 17:50:11;     0;ok
flux12CisRiActivites;31/07/14 17:40:38;31/07/14 17:40:39;     1;ok
flux10CisRiContactBailleur;31/07/14 17:40:11;31/07/14 17:40:11;     0;ok
flux14CisRiGedATransferer;31/07/14 17:05:04;31/07/14 17:15:50;   646;ok
flux9RiCisBailleur;31/07/14 17:04:18;31/07/14 17:04:19;     1;ok
flux8RiCisBailleur;31/07/14 17:03:46;31/07/14 17:03:47;     1;ok
flux6RiCisBailleur;31/07/14 17:03:12;31/07/14 17:03:13;     1;ok
flux4RiCisBailleur;31/07/14 17:02:23;31/07/14 17:02:24;     1;ok
flux2RiCisBailleur;31/07/14 17:01:58;31/07/14 17:01:59;     1;ok
flux7CisRiPh;31/07/14 17:01:33;31/07/14 17:01:35;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 17:01:04;31/07/14 17:01:04;     0;ok
flux3CisRiPhBauxCc;31/07/14 17:00:29;31/07/14 17:00:30;     1;ok
flux1CisRiPhCc;31/07/14 17:00:11;31/07/14 17:00:16;     5;ok
flux13RiCisActivites;31/07/14 16:50:43;31/07/14 16:50:44;     1;ok
flux11RiCisContactBailleur;31/07/14 16:50:10;31/07/14 16:50:11;     1;ok
flux12CisRiActivites;31/07/14 16:40:42;31/07/14 16:40:42;     0;ok
flux10CisRiContactBailleur;31/07/14 16:40:10;31/07/14 16:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 16:04:19;31/07/14 16:13:44;   565;ok
flux9RiCisBailleur;31/07/14 16:03:49;31/07/14 16:03:50;     1;ok
flux8RiCisBailleur;31/07/14 16:03:14;31/07/14 16:03:15;     1;ok
flux6RiCisBailleur;31/07/14 16:02:44;31/07/14 16:02:45;     1;ok
flux4RiCisBailleur;31/07/14 16:02:14;31/07/14 16:02:15;     1;ok
flux2RiCisBailleur;31/07/14 16:01:53;31/07/14 16:01:53;     0;ok
flux7CisRiPh;31/07/14 16:01:19;31/07/14 16:01:21;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 16:01:04;31/07/14 16:01:04;     0;ok
flux3CisRiPhBauxCc;31/07/14 16:00:24;31/07/14 16:00:24;     0;ok
flux1CisRiPhCc;31/07/14 16:00:11;31/07/14 16:00:13;     2;ok
flux13RiCisActivites;31/07/14 15:50:24;31/07/14 15:50:25;     1;ok
flux11RiCisContactBailleur;31/07/14 15:50:10;31/07/14 15:50:11;     1;ok
flux12CisRiActivites;31/07/14 15:40:40;31/07/14 15:40:41;     1;ok
flux10CisRiContactBailleur;31/07/14 15:40:10;31/07/14 15:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 15:04:37;31/07/14 15:14:02;   565;ok
flux9RiCisBailleur;31/07/14 15:04:16;31/07/14 15:04:17;     1;ok
flux8RiCisBailleur;31/07/14 15:03:34;31/07/14 15:03:35;     1;ok
flux6RiCisBailleur;31/07/14 15:03:04;31/07/14 15:03:05;     1;ok
flux4RiCisBailleur;31/07/14 15:02:35;31/07/14 15:02:36;     1;ok
flux2RiCisBailleur;31/07/14 15:02:19;31/07/14 15:02:20;     1;ok
flux7CisRiPh;31/07/14 15:01:39;31/07/14 15:01:41;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 15:01:09;31/07/14 15:01:09;     0;ok
flux3CisRiPhBauxCc;31/07/14 15:00:40;31/07/14 15:00:40;     0;ok
flux1CisRiPhCc;31/07/14 15:00:11;31/07/14 15:00:13;     2;ok
flux13RiCisActivites;31/07/14 14:50:36;31/07/14 14:50:37;     1;ok
flux11RiCisContactBailleur;31/07/14 14:50:11;31/07/14 14:50:12;     1;ok
flux12CisRiActivites;31/07/14 14:40:54;31/07/14 14:40:55;     1;ok
flux10CisRiContactBailleur;31/07/14 14:40:10;31/07/14 14:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 14:04:49;31/07/14 14:15:12;   623;ok
flux9RiCisBailleur;31/07/14 14:04:19;31/07/14 14:04:20;     1;ok
flux8RiCisBailleur;31/07/14 14:03:49;31/07/14 14:03:50;     1;ok
flux6RiCisBailleur;31/07/14 14:03:24;31/07/14 14:03:25;     1;ok
flux4RiCisBailleur;31/07/14 14:02:54;31/07/14 14:02:55;     1;ok
flux2RiCisBailleur;31/07/14 14:02:24;31/07/14 14:02:25;     1;ok
flux7CisRiPh;31/07/14 14:02:09;31/07/14 14:02:11;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 14:01:29;31/07/14 14:01:29;     0;ok
flux3CisRiPhBauxCc;31/07/14 14:01:06;31/07/14 14:01:06;     0;ok
jobLireEtudesCDE12;31/07/14 14:00:33;31/07/14 14:00:33;     0;ok
flux1CisRiPhCc;31/07/14 14:00:15;31/07/14 14:00:17;     2;ok
flux13RiCisActivites;31/07/14 13:50:45;31/07/14 13:50:46;     1;ok
flux11RiCisContactBailleur;31/07/14 13:50:20;31/07/14 13:50:21;     1;ok
flux12CisRiActivites;31/07/14 13:40:37;31/07/14 13:40:38;     1;ok
flux10CisRiContactBailleur;31/07/14 13:40:11;31/07/14 13:40:11;     0;ok
flux14CisRiGedATransferer;31/07/14 13:04:13;31/07/14 13:13:44;   571;ok
flux9RiCisBailleur;31/07/14 13:03:43;31/07/14 13:03:44;     1;ok
flux8RiCisBailleur;31/07/14 13:03:08;31/07/14 13:03:09;     1;ok
flux6RiCisBailleur;31/07/14 13:02:54;31/07/14 13:02:55;     1;ok
flux4RiCisBailleur;31/07/14 13:02:20;31/07/14 13:02:21;     1;ok
flux2RiCisBailleur;31/07/14 13:01:58;31/07/14 13:01:59;     1;ok
flux7CisRiPh;31/07/14 13:01:28;31/07/14 13:01:30;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 13:01:02;31/07/14 13:01:03;     1;ok
flux3CisRiPhBauxCc;31/07/14 13:00:28;31/07/14 13:00:29;     1;ok
flux1CisRiPhCc;31/07/14 13:00:10;31/07/14 13:00:13;     3;ok
flux13RiCisActivites;31/07/14 12:50:37;31/07/14 12:50:38;     1;ok
flux11RiCisContactBailleur;31/07/14 12:50:10;31/07/14 12:50:11;     1;ok
flux12CisRiActivites;31/07/14 12:40:41;31/07/14 12:40:42;     1;ok
flux10CisRiContactBailleur;31/07/14 12:40:10;31/07/14 12:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 12:04:12;31/07/14 12:12:54;   522;ok
flux9RiCisBailleur;31/07/14 12:03:46;31/07/14 12:03:47;     1;ok
flux8RiCisBailleur;31/07/14 12:03:27;31/07/14 12:03:28;     1;ok
flux6RiCisBailleur;31/07/14 12:02:56;31/07/14 12:02:57;     1;ok
flux4RiCisBailleur;31/07/14 12:02:27;31/07/14 12:02:28;     1;ok
flux2RiCisBailleur;31/07/14 12:01:57;31/07/14 12:01:58;     1;ok
flux7CisRiPh;31/07/14 12:01:33;31/07/14 12:01:35;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 12:01:10;31/07/14 12:01:10;     0;ok
flux3CisRiPhBauxCc;31/07/14 12:00:41;31/07/14 12:00:42;     1;ok
flux1CisRiPhCc;31/07/14 12:00:11;31/07/14 12:00:13;     2;ok
flux13RiCisActivites;31/07/14 11:50:37;31/07/14 11:50:38;     1;ok
flux11RiCisContactBailleur;31/07/14 11:50:11;31/07/14 11:50:12;     1;ok
flux12CisRiActivites;31/07/14 11:40:36;31/07/14 11:40:37;     1;ok
flux10CisRiContactBailleur;31/07/14 11:40:11;31/07/14 11:40:12;     1;ok
flux14CisRiGedATransferer;31/07/14 11:04:02;31/07/14 11:14:20;   618;ok
flux9RiCisBailleur;31/07/14 11:03:27;31/07/14 11:03:28;     1;ok
flux8RiCisBailleur;31/07/14 11:03:03;31/07/14 11:03:04;     1;ok
flux6RiCisBailleur;31/07/14 11:02:28;31/07/14 11:02:28;     0;ok
flux4RiCisBailleur;31/07/14 11:01:56;31/07/14 11:01:57;     1;ok
flux2RiCisBailleur;31/07/14 11:01:22;31/07/14 11:01:23;     1;ok
flux7CisRiPh;31/07/14 11:01:03;31/07/14 11:01:05;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 11:00:46;31/07/14 11:00:47;     1;ok
flux3CisRiPhBauxCc;31/07/14 11:00:27;31/07/14 11:00:28;     1;ok
flux1CisRiPhCc;31/07/14 11:00:11;31/07/14 11:00:13;     2;ok
flux13RiCisActivites;31/07/14 10:50:32;31/07/14 10:50:33;     1;ok
flux11RiCisContactBailleur;31/07/14 10:50:10;31/07/14 10:50:11;     1;ok
flux12CisRiActivites;31/07/14 10:40:41;31/07/14 10:40:42;     1;ok
flux10CisRiContactBailleur;31/07/14 10:40:10;31/07/14 10:40:11;     1;ok
flux14CisRiGedATransferer;31/07/14 10:04:43;31/07/14 10:13:43;   540;ok
flux9RiCisBailleur;31/07/14 10:04:07;31/07/14 10:04:08;     1;ok
flux8RiCisBailleur;31/07/14 10:03:24;31/07/14 10:03:25;     1;ok
flux6RiCisBailleur;31/07/14 10:02:57;31/07/14 10:02:58;     1;ok
flux4RiCisBailleur;31/07/14 10:02:27;31/07/14 10:02:28;     1;ok
flux2RiCisBailleur;31/07/14 10:02:11;31/07/14 10:02:12;     1;ok
flux7CisRiPh;31/07/14 10:01:49;31/07/14 10:01:51;     2;ok
flux5CisRiPhBauxHorsCc;31/07/14 10:01:21;31/07/14 10:01:21;     0;ok
flux3CisRiPhBauxCc;31/07/14 10:00:36;31/07/14 10:00:36;     0;ok
flux1CisRiPhCc;31/07/14 10:00:11;31/07/14 10:00:13;     2;ok
flux13RiCisActivites;31/07/14 09:50:22;31/07/14 09:50:23;     1;ok
flux11RiCisContactBailleur;31/07/14 09:50:10;31/07/14 09:50:11;     1;ok
flux12CisRiActivites;31/07/14 09:40:38;31/07/14 09:40:38;     0;ok
flux10CisRiContactBailleur;31/07/14 09:40:10;31/07/14 09:40:10;     0;ok
flux14CisRiGedATransferer;31/07/14 09:04:44;31/07/14 09:14:11;   567;ok
flux9RiCisBailleur;31/07/14 09:04:05;31/07/14 09:04:06;     1;ok
flux8RiCisBailleur;31/07/14 09:03:27;31/07/14 09:03:28;     1;ok
flux6RiCisBailleur;31/07/14 09:03:04;31/07/14 09:03:05;     1;ok
flux4RiCisBailleur;31/07/14 09:02:34;31/07/14 09:02:35;     1;ok
